id,Title,Interval,LastWork,IsActive,Description,IsRunNow,WriteDate
6,Cron: Обновления картинок,1800,2020-11-07 22:41:01.000000,0,По 10000 товаров каждые ... минут,0,2020-11-07 22:54:52.000000
7,Cron: обновление банка данных слов,36000,2020-12-15 20:21:01.000000,0,Пока не запускать! Тестирую,0,2020-12-15 20:21:43.000000
9,Инвентаризации картинок,72000,2020-12-15 20:22:01.000000,0,"Сверяет данные на сервере и в БД, при расхождении - удаляет из БД",0,2020-12-15 20:22:01.000000
11,Сканирование Email почты,3600,2021-05-25 18:52:01.000000,0,,0,2021-09-27 21:18:11.000000
1,Обновление цен onliner.by,10800,2021-09-29 17:08:03.000000,0,"Только тех товаров, которые есть на складе",0,2021-09-29 17:08:03.000000
14,Полное обновление товаров onliner,7200,2021-09-29 17:15:01.000000,0,,0,2021-09-29 17:15:01.000000
4,Cron: запуск поиска новых товаров,43200,2021-09-27 16:33:01.000000,0,,0,2021-09-27 21:18:07.000000
3,Обновление таблицы соответствий,82800,2021-10-24 14:16:01.000000,1,,0,2021-10-24 14:16:01.594369
12,Onliner XML,86340,2021-10-24 16:27:01.000000,1,Обновление списка товаров Onliner,0,2021-10-24 16:27:01.891785
5,Cron: запуск очистки старого лога,86340,2021-10-24 18:00:02.000000,1,Удалить старые записи,0,2021-10-24 18:00:02.140122
2,Обновление курсов валют,36000,2021-10-24 19:51:01.000000,1,С сайта нацбанка,0,2021-10-24 19:51:01.509117
13,Удаление старых спецификаций,36000,2021-10-25 01:14:01.000000,1,,0,2021-10-25 01:14:01.268293
